Using device: cuda
Start training with 22849352 number of parameters
Iteration 0: Allocated: 561.27 MB, Reserved: 3054.00 MB
Iteration 1: Allocated: 832.84 MB, Reserved: 6364.00 MB
Iteration 2: Allocated: 871.01 MB, Reserved: 8296.00 MB
Iteration 3: Allocated: 932.23 MB, Reserved: 8296.00 MB
Iteration 4: Allocated: 909.78 MB, Reserved: 8838.00 MB
Iteration 5: Allocated: 843.42 MB, Reserved: 8838.00 MB
Iteration 6: Allocated: 873.38 MB, Reserved: 9042.00 MB
Iteration 7: Allocated: 881.43 MB, Reserved: 9042.00 MB
Iteration 8: Allocated: 918.82 MB, Reserved: 9042.00 MB
Iteration 9: Allocated: 902.23 MB, Reserved: 9042.00 MB
Iteration 10: Allocated: 884.96 MB, Reserved: 9042.00 MB
Iteration 11: Allocated: 949.20 MB, Reserved: 9042.00 MB
Iteration 12: Allocated: 880.42 MB, Reserved: 9042.00 MB
Iteration 13: Allocated: 932.09 MB, Reserved: 9042.00 MB
Iteration 14: Allocated: 895.43 MB, Reserved: 9042.00 MB
Iteration 15: Allocated: 905.06 MB, Reserved: 11588.00 MB
Iteration 16: Allocated: 874.42 MB, Reserved: 11588.00 MB
Iteration 17: Allocated: 868.99 MB, Reserved: 11588.00 MB
Iteration 18: Allocated: 941.87 MB, Reserved: 11588.00 MB
Iteration 19: Allocated: 839.44 MB, Reserved: 11588.00 MB
Iteration 20: Allocated: 869.48 MB, Reserved: 11588.00 MB
Iteration 21: Allocated: 894.02 MB, Reserved: 11588.00 MB
Iteration 22: Allocated: 863.37 MB, Reserved: 11588.00 MB
Iteration 23: Allocated: 887.62 MB, Reserved: 11588.00 MB
Iteration 24: Allocated: 889.38 MB, Reserved: 11588.00 MB
Iteration 25: Allocated: 869.96 MB, Reserved: 11588.00 MB
Iteration 26: Allocated: 915.68 MB, Reserved: 11588.00 MB
Iteration 27: Allocated: 950.44 MB, Reserved: 11588.00 MB
Iteration 28: Allocated: 884.01 MB, Reserved: 11588.00 MB
Iteration 29: Allocated: 904.48 MB, Reserved: 11588.00 MB
Iteration 30: Allocated: 894.43 MB, Reserved: 11588.00 MB
Iteration 31: Allocated: 896.10 MB, Reserved: 11588.00 MB
Iteration 32: Allocated: 903.20 MB, Reserved: 11588.00 MB
Iteration 33: Allocated: 862.24 MB, Reserved: 11588.00 MB
Iteration 34: Allocated: 864.90 MB, Reserved: 11588.00 MB
Iteration 35: Allocated: 901.50 MB, Reserved: 11588.00 MB
Iteration 36: Allocated: 965.07 MB, Reserved: 11588.00 MB
Iteration 37: Allocated: 895.55 MB, Reserved: 11588.00 MB
Iteration 38: Allocated: 833.90 MB, Reserved: 11588.00 MB
Iteration 39: Allocated: 847.59 MB, Reserved: 11588.00 MB
Iteration 40: Allocated: 853.39 MB, Reserved: 11588.00 MB
Iteration 41: Allocated: 939.02 MB, Reserved: 11588.00 MB
Iteration 42: Allocated: 924.22 MB, Reserved: 11588.00 MB
Iteration 43: Allocated: 847.75 MB, Reserved: 11588.00 MB
Iteration 44: Allocated: 932.58 MB, Reserved: 11588.00 MB
Iteration 45: Allocated: 971.29 MB, Reserved: 11588.00 MB
Iteration 46: Allocated: 943.06 MB, Reserved: 11588.00 MB
Iteration 47: Allocated: 848.20 MB, Reserved: 11588.00 MB
