Using device: cuda
Start training with 21576776 number of parameters
Iteration 0: Allocated: 527.85 MB, Reserved: 3092.00 MB
Iteration 1: Allocated: 810.85 MB, Reserved: 6344.00 MB
Iteration 2: Allocated: 815.98 MB, Reserved: 7858.00 MB
Iteration 3: Allocated: 781.01 MB, Reserved: 9198.00 MB
Iteration 4: Allocated: 812.25 MB, Reserved: 9498.00 MB
Iteration 5: Allocated: 815.74 MB, Reserved: 9498.00 MB
Iteration 6: Allocated: 798.92 MB, Reserved: 9498.00 MB
Iteration 7: Allocated: 803.21 MB, Reserved: 9504.00 MB
Iteration 8: Allocated: 829.97 MB, Reserved: 9506.00 MB
Iteration 9: Allocated: 827.64 MB, Reserved: 10926.00 MB
Iteration 10: Allocated: 825.65 MB, Reserved: 10926.00 MB
Iteration 11: Allocated: 814.01 MB, Reserved: 10926.00 MB
Iteration 12: Allocated: 716.59 MB, Reserved: 10926.00 MB
Iteration 13: Allocated: 790.08 MB, Reserved: 10926.00 MB
Iteration 14: Allocated: 809.49 MB, Reserved: 10926.00 MB
Iteration 15: Allocated: 810.10 MB, Reserved: 10926.00 MB
Iteration 16: Allocated: 784.80 MB, Reserved: 10926.00 MB
Iteration 17: Allocated: 792.16 MB, Reserved: 10926.00 MB
Iteration 18: Allocated: 801.86 MB, Reserved: 10926.00 MB
Iteration 19: Allocated: 825.31 MB, Reserved: 10926.00 MB
Iteration 20: Allocated: 782.97 MB, Reserved: 10926.00 MB
Iteration 21: Allocated: 791.78 MB, Reserved: 10926.00 MB
Iteration 22: Allocated: 799.06 MB, Reserved: 10926.00 MB
Iteration 23: Allocated: 758.08 MB, Reserved: 10926.00 MB
Iteration 24: Allocated: 798.54 MB, Reserved: 10926.00 MB
Iteration 25: Allocated: 778.89 MB, Reserved: 10926.00 MB
Iteration 26: Allocated: 829.39 MB, Reserved: 10926.00 MB
Iteration 27: Allocated: 817.12 MB, Reserved: 10926.00 MB
Iteration 28: Allocated: 801.12 MB, Reserved: 10926.00 MB
Iteration 29: Allocated: 840.48 MB, Reserved: 10926.00 MB
Iteration 30: Allocated: 838.39 MB, Reserved: 10926.00 MB
Iteration 31: Allocated: 832.59 MB, Reserved: 10926.00 MB
Iteration 32: Allocated: 803.86 MB, Reserved: 10926.00 MB
Iteration 33: Allocated: 773.41 MB, Reserved: 10926.00 MB
Iteration 34: Allocated: 797.43 MB, Reserved: 10926.00 MB
Iteration 35: Allocated: 806.60 MB, Reserved: 10926.00 MB
Iteration 36: Allocated: 764.77 MB, Reserved: 10926.00 MB
Iteration 37: Allocated: 783.69 MB, Reserved: 10926.00 MB
Iteration 38: Allocated: 788.63 MB, Reserved: 10926.00 MB
Iteration 39: Allocated: 814.29 MB, Reserved: 10926.00 MB
Iteration 40: Allocated: 836.34 MB, Reserved: 10926.00 MB
Iteration 41: Allocated: 809.38 MB, Reserved: 10926.00 MB
Iteration 42: Allocated: 814.35 MB, Reserved: 10926.00 MB
Iteration 43: Allocated: 834.11 MB, Reserved: 10926.00 MB
Iteration 44: Allocated: 809.08 MB, Reserved: 10926.00 MB
Iteration 45: Allocated: 834.73 MB, Reserved: 10926.00 MB
Iteration 46: Allocated: 830.07 MB, Reserved: 10926.00 MB
Iteration 47: Allocated: 756.14 MB, Reserved: 10926.00 MB
Iteration 48: Allocated: 804.30 MB, Reserved: 10926.00 MB
Iteration 49: Allocated: 810.28 MB, Reserved: 10926.00 MB
Iteration 50: Allocated: 784.47 MB, Reserved: 10926.00 MB
Iteration 51: Allocated: 765.14 MB, Reserved: 10926.00 MB
Iteration 52: Allocated: 838.09 MB, Reserved: 10926.00 MB
Iteration 53: Allocated: 820.83 MB, Reserved: 10926.00 MB
Iteration 54: Allocated: 779.35 MB, Reserved: 10926.00 MB
Iteration 55: Allocated: 789.09 MB, Reserved: 10926.00 MB
Iteration 56: Allocated: 728.30 MB, Reserved: 10926.00 MB
Iteration 57: Allocated: 799.22 MB, Reserved: 10926.00 MB
Iteration 58: Allocated: 763.81 MB, Reserved: 10926.00 MB
Iteration 59: Allocated: 782.64 MB, Reserved: 10926.00 MB
Iteration 60: Allocated: 782.13 MB, Reserved: 10926.00 MB
Iteration 61: Allocated: 833.89 MB, Reserved: 10926.00 MB
Iteration 62: Allocated: 768.46 MB, Reserved: 10926.00 MB
Iteration 63: Allocated: 796.11 MB, Reserved: 10926.00 MB
Iteration 64: Allocated: 778.74 MB, Reserved: 10926.00 MB
Iteration 65: Allocated: 796.33 MB, Reserved: 10926.00 MB
Iteration 66: Allocated: 793.75 MB, Reserved: 11626.00 MB
Iteration 67: Allocated: 823.14 MB, Reserved: 11626.00 MB
Iteration 68: Allocated: 796.31 MB, Reserved: 11626.00 MB
Iteration 69: Allocated: 760.89 MB, Reserved: 11626.00 MB
Iteration 70: Allocated: 771.53 MB, Reserved: 11626.00 MB
Iteration 71: Allocated: 765.04 MB, Reserved: 11626.00 MB
Iteration 72: Allocated: 809.73 MB, Reserved: 11626.00 MB
