Using device: cuda
Start training with 22849352 number of parameters
Iteration 0: Allocated: 128.44 MB, Reserved: 2284.00 MB
Iteration 1: Allocated: 570.58 MB, Reserved: 7178.00 MB
Iteration 2: Allocated: 580.03 MB, Reserved: 7188.00 MB
Iteration 3: Allocated: 569.08 MB, Reserved: 7190.00 MB
Iteration 4: Allocated: 646.16 MB, Reserved: 8920.00 MB
Iteration 5: Allocated: 631.74 MB, Reserved: 8920.00 MB
Iteration 6: Allocated: 607.59 MB, Reserved: 8920.00 MB
Iteration 7: Allocated: 623.95 MB, Reserved: 9082.00 MB
Iteration 8: Allocated: 451.93 MB, Reserved: 9082.00 MB
Iteration 9: Allocated: 612.21 MB, Reserved: 9082.00 MB
Iteration 10: Allocated: 629.45 MB, Reserved: 9762.00 MB
Iteration 11: Allocated: 597.56 MB, Reserved: 9762.00 MB
Iteration 12: Allocated: 572.11 MB, Reserved: 9762.00 MB
Iteration 13: Allocated: 609.19 MB, Reserved: 9762.00 MB
Iteration 14: Allocated: 656.27 MB, Reserved: 9762.00 MB
Iteration 15: Allocated: 620.17 MB, Reserved: 9762.00 MB
Iteration 16: Allocated: 573.71 MB, Reserved: 9762.00 MB
Iteration 17: Allocated: 597.56 MB, Reserved: 9762.00 MB
Iteration 18: Allocated: 625.61 MB, Reserved: 9762.00 MB
Iteration 19: Allocated: 613.21 MB, Reserved: 9762.00 MB
Iteration 20: Allocated: 594.98 MB, Reserved: 9762.00 MB
Iteration 21: Allocated: 613.87 MB, Reserved: 9762.00 MB
Iteration 22: Allocated: 613.52 MB, Reserved: 9762.00 MB
Iteration 23: Allocated: 566.79 MB, Reserved: 9762.00 MB
Iteration 24: Allocated: 579.02 MB, Reserved: 9762.00 MB
Iteration 25: Allocated: 636.96 MB, Reserved: 9762.00 MB
Iteration 26: Allocated: 620.94 MB, Reserved: 9762.00 MB
Iteration 27: Allocated: 637.70 MB, Reserved: 9962.00 MB
Iteration 28: Allocated: 648.21 MB, Reserved: 10762.00 MB
Iteration 29: Allocated: 637.31 MB, Reserved: 10762.00 MB
Iteration 30: Allocated: 584.99 MB, Reserved: 10762.00 MB
Iteration 31: Allocated: 607.12 MB, Reserved: 10762.00 MB
Iteration 32: Allocated: 569.94 MB, Reserved: 10762.00 MB
Iteration 33: Allocated: 594.92 MB, Reserved: 10762.00 MB
Iteration 34: Allocated: 617.85 MB, Reserved: 10766.00 MB
Iteration 35: Allocated: 603.30 MB, Reserved: 10766.00 MB
Iteration 36: Allocated: 563.88 MB, Reserved: 10766.00 MB
Iteration 37: Allocated: 621.29 MB, Reserved: 10766.00 MB
